run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig_src_ct_isl_1,emig_src_ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3336,3325,4700,4841,2924,2927,313,1654,0.5,0,300,159,0.05,0,3372,3382,31,31,37,data/local_sensitivity_analysis/lsa_two_isl.csv
1,2,21,105,22,162,58,296,53,279,5,17,0,0,0,0,0,0,0,0,3422,3789,4447,4944,2977,3294,309,1988,0.5,0,309,181,0.05,0,2183,2298,27,36,37,data/local_sensitivity_analysis/lsa_two_isl.csv
1,3,14,86,26,215,108,587,105,561,3,26,0,0,0,0,0,0,0,0,3541,4515,4250,5311,3095,3916,358,2406,0.5,0,309,202,0.05,0,1355,1405,21,42,37,data/local_sensitivity_analysis/lsa_two_isl.csv
1,2,22,281,38,146,168,1025,158,967,10,58,0,0,0,0,0,0,0,0,3742,5674,3654,5532,3331,5049,0,1830,0.5,0,763,776,0.05,0,1028,1743,14,49,37,data/local_sensitivity_analysis/lsa_two_isl.csv
1,2,0,108,0,179,172,1271,162,1210,10,61,0,0,0,0,0,0,0,0,3491,6453,3483,6487,3137,5897,230,3213,0.5,0,346,292,0.05,0,1085,2271,8,54,37,data/local_sensitivity_analysis/lsa_two_isl.csv
1,3,20,166,21,365,198,1818,183,1729,15,89,0,0,0,0,0,0,0,0,3675,8273,3317,7871,3362,7742,341,4584,0.5,0,358,402,0.05,0,1204,3120,5,58,37,data/local_sensitivity_analysis/lsa_two_isl.csv
1,2,13,228,46,556,213,2449,206,2322,7,127,1633,2267,431,0,3469,11,0,88,2327,7996,1877,6860,2054,7452,0,3157,0.5,0,450,1136,0.05,0,746,3609,1,61,37,data/local_sensitivity_analysis/lsa_two_isl.csv
1,2,0,267,0,255,173,2674,162,2520,11,154,167,386,5,0,548,2,0,97,1877,9099,1701,8628,1677,8588,179,5101,0.5,0,176,471,0.05,0,828,3937,0,62,37,data/local_sensitivity_analysis/lsa_two_isl.csv
1,1,8,297,30,513,164,3310,151,3155,13,155,178,565,0,0,743,0,0,100,1674,11329,1507,10860,1477,10136,154,6559,0.5,0,167,469,0.05,0,591,4901,0,62,37,data/local_sensitivity_analysis/lsa_two_isl.csv
1,1,13,372,10,708,151,3844,144,3667,7,177,229,803,0,0,1032,0,0,100,1422,13832,1134,12304,1239,10682,0,3821,0.5,0,288,1528,0.05,0,639,5139,0,62,37,data/local_sensitivity_analysis/lsa_two_isl.csv
